,26-Jul-2021
The Nifty witnessed an intraday movement of about 96.35 points.The closing index was 0.2 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 61528.46
, Traded Quantity (in Lakhs), 30087.53
, Number of Trades, 22351276
, Total Market Capitalisation (Rs. Crores), 23327563.15

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,     15856.05,     15849.30,     15893.35,     15797.00,     15824.45,-31.6
,NIFTY50 EQL Wgt,     17846.70,     17848.20,     17903.85,     17801.85,     17848.05,1.35
,NIFTY100 EQL Wgt,     19125.10,     19145.55,     19180.60,     19075.15,     19135.25,10.15
,NIFTY100 LowVol30,     12475.75,     12475.20,     12529.15,     12452.05,     12480.75,5
,NIFTY Alpha 50,     28522.80,     28550.90,     28591.80,     28332.05,     28502.15,-20.65
,NIFTY MIDCAP 150,     10418.50,     10441.40,     10482.75,     10389.60,     10423.15,4.65
,NIFTY SMLCAP 50,      5257.70,      5258.20,      5279.90,      5236.90,      5262.60,4.9
,NIFTY SMLCAP 250,      9026.25,      9043.70,      9099.50,      9018.65,      9059.20,32.95
,NIFTY MIDSML 400,      9914.25,      9935.20,      9981.25,      9898.25,      9928.85,14.6
,NIFTY200 QUALTY30,     13723.50,     13723.30,     13793.50,     13708.10,     13737.95,14.45
,Nifty FinSrv25 50,     16682.55,     16661.25,     16705.80,     16558.35,     16639.15,-43.4
,NIFTY AlphaLowVol,     16141.85,     16141.85,     16212.15,     16115.05,     16159.60,17.75
,Nifty200Momentm30,     18215.20,     18273.00,     18338.80,     18149.85,     18246.95,31.75
,Nifty100ESGSecLdr,      2696.35,      2694.40,      2701.15,      2687.75,      2689.75,-6.6
,Nifty IT,     29894.30,     29886.20,     30139.20,     29859.60,     29940.40,46.1
,Nifty Next 50,     39312.35,     39371.80,     39459.75,     39167.95,     39351.30,38.95
,Nifty Bank,     35034.40,     34947.85,     35138.20,     34669.55,     34949.70,-84.7
,NIFTY MIDCAP 100,     27584.80,     27639.10,     27758.70,     27486.10,     27573.85,-10.95
,Nifty 500,     13687.00,     13692.20,     13731.10,     13648.45,     13675.10,-11.9
,Nifty 100,     16119.10,     16117.25,     16156.20,     16066.15,     16094.20,-24.9
,Nifty Midcap 50,      7574.35,      7592.60,      7614.50,      7537.55,      7549.05,-25.3
,Nifty Realty,       401.05,       401.15,       406.90,       396.20,       397.20,-3.85
,Nifty Infra,      4456.35,      4455.30,      4474.25,      4435.70,      4446.50,-9.85
,Nifty Energy,     19503.80,     19491.50,     19496.55,     19273.45,     19300.10,-203.7
,Nifty FMCG,     36558.65,     36639.15,     36746.50,     36459.05,     36486.75,-71.9
,Nifty MNC,     17755.85,     17773.05,     17819.65,     17688.20,     17779.35,23.5
,Nifty Pharma,     14597.85,     14604.65,     14711.20,     14591.85,     14652.55,54.7
,Nifty PSE,      3597.90,      3597.25,      3614.20,      3580.45,      3589.90,-8
,Nifty PSU Bank,      2428.05,      2428.95,      2429.95,      2405.55,      2408.55,-19.5
,Nifty Serv Sector,     22015.30,     21980.65,     22067.35,     21893.80,     21989.00,-26.3
,India VIX,11.7625,11.7625,12.5400,10.3950,12.4500,0.6875
,Nifty Auto,     10201.35,     10204.65,     10212.65,     10127.15,     10137.95,-63.4
,Nifty Metal,      5353.80,      5402.60,      5421.90,      5350.00,      5387.40,33.6
,Nifty Media,      1754.00,      1760.10,      1786.35,      1755.95,      1759.55,5.55
,NIFTY SMLCAP 100,     10406.95,     10416.10,     10462.25,     10380.75,     10434.75,27.8
,Nifty 200,      8422.70,      8424.05,      8446.30,      8395.25,      8411.00,-11.7
,Nifty Div Opps 50,      3396.20,      3397.05,      3410.55,      3390.65,      3395.90,-.3
,Nifty Commodities,      5303.25,      5320.40,      5328.25,      5283.75,      5307.00,3.75
,Nifty Consumption,      6433.40,      6435.15,      6460.05,      6419.50,      6426.25,-7.15
,Nifty Fin Service,     16611.05,     16574.50,     16632.10,     16462.55,     16574.85,-36.2
,Nifty50 Div Point,        89.87,        89.87,        89.87,        89.87,        89.87,0
,Nifty100 Liq 15,      4086.60,      4087.85,      4096.10,      4060.65,      4072.90,-13.7
,Nifty CPSE,      2040.60,      2039.00,      2055.10,      2031.40,      2042.65,2.05
,Nifty GrowSect 15,      7671.30,      7683.15,      7701.85,      7657.40,      7663.35,-7.95
,Nifty50 PR 2x Lev,      7536.95,      7528.50,      7570.40,      7481.05,      7504.90,-32.05
,Nifty50 PR 1x Inv,       277.75,       277.90,       278.80,       277.15,       278.35,.6
,Nifty50 TR 2x Lev,     10175.30,     10163.90,     10220.45,     10099.85,     10132.05,-43.25
,Nifty50 TR 1x Inv,       239.15,       239.30,       240.05,       238.65,       239.70,.55
,Nifty50 Value 20,      8131.80,      8140.55,      8164.45,      8112.20,      8118.45,-13.35
,Nifty Mid Liq 15,      6388.10,      6386.05,      6422.20,      6314.00,      6339.20,-48.9
,Nifty Pvt Bank,     18287.15,     18281.05,     18386.90,     18137.90,     18270.80,-16.35
,NIFTY100 Qualty30,      3648.80,      3647.80,      3662.85,      3643.90,      3647.70,-1.1
,Nifty GS 8 13Yr,      2261.96,      2262.35,      2262.75,      2262.01,      2262.69,.73
,Nifty GS 10Yr,      2045.98,      2046.33,      2046.64,      2044.08,      2045.00,-.98
,Nifty GS 10Yr Cln,       942.11,       942.11,       942.26,       941.08,       941.50,-.61
,Nifty GS 4 8Yr,      2434.91,      2435.30,      2437.56,      2435.30,      2436.39,1.48
,Nifty GS 11 15Yr,      2419.72,      2420.17,      2422.11,      2420.17,      2420.56,.84
,Nifty GS 15YrPlus,      2582.03,      2582.53,      2590.21,      2582.53,      2588.93,6.9
,Nifty GS Compsite,      2316.27,      2316.67,      2318.83,      2316.67,      2317.72,1.45

,ADVANCES,969
,DECLINES,1062
,UNCHANGED,71

,Total securities that have hit their price bands today,452

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,ZOMATO,EQ,       126.00,       140.65,11.63,3362.03
,GULFOILLUB,EQ,       648.65,                 30372048.70,46696
,GULFPETRO,EQ,        62.60,                  5816008.60,92085
,GULPOLY,BE,       269.40,                 49329262.05,183928
,GVKPIL,BZ,         2.60,                  2220595.00,854075
,HAL,EQ,      1104.85,                551167021.90,497481
,HAPPSTMNDS,EQ,      1350.25,               1899375087.50,1395743
,HARRMALAYA,EQ,       222.10,                 60473338.60,268324
,HATHWAY,EQ,        25.85,                170137670.20,6482937
,HATSUN,EQ,       925.75,                 32296740.30,34665
,HAVISHA,BE,         1.65,                     3740.55,2267
,HBANKETF,EQ,       347.25,                   777393.52,2236
,HBLPOWER,EQ,        52.90,                 62868222.45,1174437
,HBSL,EQ,        26.50,                   357989.25,13411
,HCC,EQ,        12.15,                 42197733.10,3465796
,HCG,EQ,       224.80,                 26662256.80,118827
,HCL-INSYS,EQ,        14.85,                 11091410.85,740840
,HDFC,W3,       684.95,                 10314150.00,15000
,HDFCMFGETF,EQ,        42.47,                 13941695.75,328116
,HDFCNIFETF,EQ,       168.66,                  2566807.38,15211
,HDFCSENETF,EQ,       571.92,                  2004157.25,3509
,HDIL,BZ,         5.55,                  1596394.15,290538
,HEG,EQ,      2228.25,                226911684.05,101457
,HEIDELBERG,EQ,       259.60,                 56269435.45,214978
,HEMIPROP,EQ,       144.15,                118279857.95,811516
,HEOFRG1126,MF,        11.45,                    57250.00,5000
,HERANBA,EQ,       824.60,                605235284.00,731744
,HERCULES,EQ,       163.95,                 12125249.65,73019
,HERITGFOOD,EQ,       464.25,                 37046346.65,79351
,HESTERBIO,EQ,      2380.20,                 17515289.50,7332
,HEXATRADEX,EQ,       127.65,                 27247539.25,206576
,HFCL,BE,        72.00,                463526974.80,6426699
,HGINFRA,EQ,       506.90,                455606210.55,897741
,HGS,BE,      2927.35,                 65056279.65,22289
,HIKAL,EQ,       520.80,                140247012.35,268634
,HIL,EQ,      4826.10,                100983833.90,20993
,HILTON,EQ,        12.75,                  1334888.30,106381
,HIMATSEIDE,BE,       246.05,                 36648198.70,155035
,HINDCOMPOS,EQ,       327.80,                  3265186.25,9948
,HINDCON,EQ,        75.40,                 15534646.60,198980
,HINDCOPPER,EQ,       148.65,                790986140.10,5336344
,HINDMOTORS,EQ,         8.05,                  1352629.35,167853
,HINDNATGLS,BE,        47.10,                  1479131.45,31785
,HINDOILEXP,EQ,       119.60,                 77115901.50,637765
,HIRECT,EQ,       154.90,                  3794837.00,24482
,HISARMETAL,EQ,       150.05,                 51557553.60,330964
,HITECH,EQ,       616.10,                 52181835.00,83732
,HITECHCORP,EQ,       261.35,                 24202813.90,93879
,HITECHGEAR,EQ,       338.25,                  9507543.15,28333
,HLEGLAS,EQ,      3464.80,                 14526489.55,4164
,HLVLTD,EQ,         9.65,                  1824608.60,187928
,HMT,BZ,        35.10,                   806512.30,22809
,HMVL,EQ,        87.45,                 20760639.40,234266
,HNDFDS,BE,      1952.95,                  6403807.10,3263
,HNGSNGBEES,EQ,       346.11,                  2108531.40,6044
,HOMEFIRST,EQ,       560.60,                 55641950.35,99369
,HONAUT,EQ,     43528.25,                114266235.50,2658
,HONDAPOWER,EQ,      1259.95,                 13302725.70,10548
,HOTELRUGBY,BE,         4.05,                     3329.10,822
,HOVS,EQ,        86.45,                 30252971.65,355003
,HPL,EQ,        83.25,                 24007297.70,286027
,HSCL,EQ,        51.35,                756634140.15,14407466
,HSIL,EQ,       276.30,                148460789.50,533766
,HTMEDIA,EQ,        31.45,                 19387667.65,605465
,HUBTOWN,EQ,        31.30,                  4522411.80,144486
,HUDCO,EQ,        47.30,                264063788.30,5466768
,HUDCO,N4,      1080.90,                    21618.00,20
,HUDCO,NA,      1132.80,                     4531.20,4
,HUDCO,NE,      1449.00,                    40572.00,28
,HUDCO,N3,      1056.00,                   132066.00,125
,HUDCO,N5,      1200.00,                   897600.00,748
,HUDCO,ND,      1317.43,                   228222.25,175
,HUDCO,N2,      1210.10,                    90702.50,75
,HUHTAMAKI,EQ,       310.70,                 19941287.15,63807
,IBMFNIFTY,EQ,       156.93,                   331299.31,2087
,IBREALEST,EQ,       160.35,               3220309281.85,19291096
,IBUCCREDIT,N9,      1013.80,                   205780.20,204
,IBUCCREDIT,N6,      1064.08,                   108474.00,102
,IBUCCREDIT,ND,      1030.00,                    20600.00,20
,IBULHSGFIN,EQ,       285.15,              11626214357.60,39988986
,IBULHSGFIN,NA,       996.00,                   111564.00,112
,IBULHSGFIN,N7,      1499.00,                   347772.00,232
,IBULHSGFIN,N8,       994.50,                    44768.00,45
,ICDSLTD,BE,        32.10,                    65869.20,2052
,ICEMAKE,EQ,        86.45,                  2435655.50,27910
,ICICI500,EQ,       225.55,                   590223.21,2611
,ICICIALPLV,EQ,       165.76,                  3609917.59,21814
,ICICIB22,EQ,        40.29,                 12942458.30,320227
,ICICIBANKN,EQ,       347.67,                  3796907.17,10923
,ICICIBANKP,EQ,       180.49,                  3448027.41,19125
,ICICIGOLD,EQ,        42.40,                  9509028.35,224317
,ICICILIQ,EQ,       999.99,                 24859857.20,24860
,ICICILOVOL,EQ,       131.88,                 29303438.82,222091
,ICICIM150,EQ,       105.22,                  1349471.78,12786
,ICICIMCAP,EQ,        96.78,                  1370812.52,14225
,ICICINF100,EQ,       174.47,                   584578.42,3345
,ICICINIFTY,EQ,       169.15,                 28232543.97,166218
,ICICINV20,EQ,        86.04,                  1794629.41,20850
,ICICINXT50,EQ,        39.97,                  1575508.69,39448
,ICICIPHARM,EQ,        90.16,                  9505317.50,105670
,ICICISENSX,EQ,       571.66,                   694490.96,1213
,ICICITECH,EQ,       304.09,                 24089058.61,79219
,ICIL,EQ,       247.75,                432162593.15,1789415
,ICRA,EQ,      3782.30,                 28867737.70,7595
,IDBI,EQ,        38.20,                390851483.80,10316444
,IDBIGOLD,EQ,      4410.00,                   264908.45,60
,IDEA,EQ,         8.30,               1827136766.05,219484526
,IDFC,EQ,        57.25,                305539635.75,5287695
,IDFCFIRSTB,EQ,        51.20,               1521842610.70,29656773
,IDFCFIRSTB,NC,     10927.00,                   130968.44,12
,IDFCFIRSTB,NA,     11360.00,                   159628.00,14
,IDFCFIRSTB,NE,     10875.00,                   148764.00,13
,IDFCFIRSTB,NB,      5175.00,                    20700.00,4
,IDFCFIRSTB,N9,      5265.00,                    84187.32,16
,IDFNIFTYET,EQ,       166.00,                    84333.50,506
,IEX,EQ,       439.75,               1034269943.25,2335066
,IFBAGRO,EQ,       597.65,                 14783961.50,24397
,IFBIND,EQ,      1040.50,                 22100479.35,21052
,IFCI,EQ,        13.95,                 40055275.65,2842893
,IFCI,NH,      1070.15,                   265418.20,248
,IFCI,NL,      1044.55,                   890923.50,853
,IFGLEXPOR,EQ,       392.30,                 15596844.50,39293
,IGARASHI,EQ,       534.00,                 67741295.35,124559
,IGPL,EQ,       695.05,                 41491720.60,59567
,IIFCL,N1,      1201.00,                    60050.00,50
,IIFCL,N4,      1416.01,                   581719.51,412
,IIFL,N4,      1020.21,                  3111873.26,3066
,IIFL,N6,      1017.00,                    24408.00,24
,IIFL,N7,      1020.00,                   232185.26,227
,IIFL,NF,       985.23,                  3458796.55,3511
,IIFL,N9,      1009.50,                  1922844.85,1912
,IIFL,N3,      1254.50,                    18817.50,15
,IIFL,NG,       975.02,                     2925.06,3
,IIFL,N5,      1060.00,                   742669.90,703
,IIFL,BE,       297.85,                 53004958.25,179962
,IIFL,NE,       998.00,                   221453.00,222
,IIFLSEC,EQ,       107.85,                120485152.45,1085634
,IIFLWAM,EQ,      1316.65,                 42575628.50,32209
,IITL,EQ,        70.65,                   353081.35,4952
,IL&FSENGG,BZ,         6.55,                   863089.80,129408
,IL&FSTRANS,BZ,         6.35,                   972672.10,145148
,IMAGICAA,EQ,         8.85,                  1539349.45,175202
,IMFA,EQ,       770.80,                253662317.45,328194
,IMPAL,EQ,       768.80,                  2249670.05,2932
,IMPEXFERRO,BE,         1.10,                     7959.15,7302
,INCREDIBLE,BE,        35.45,                   947597.00,26725
,INDBANK,EQ,        30.65,                  5955646.80,189826
,INDHOTEL,EQ,       146.35,                258109257.95,1759557
,INDIACEM,EQ,       196.95,                563512489.65,2846935
,INDIAGLYCO,EQ,       699.05,                176060172.05,251263
,INDIAMART,EQ,      7286.85,                687074407.25,94344
,INDIANB,EQ,       139.60,                240525876.20,1715087
,INDIANCARD,EQ,       213.90,                  2302402.80,10668
,INDIANHUME,EQ,       231.95,                 30979686.10,134055
,INDIGOPNTS,EQ,      2594.05,                 64476522.25,24760
,INDIGRID,IV,       140.27,                 23798316.78,170100
,INDIGRID,NL,      1053.00,                     5265.00,5
,INDIGRID,NJ,      1046.08,                  8613263.90,8240
,INDIGRID,NH,      1035.00,                    35263.75,34
,INDLMETER,EQ,        14.25,                  2522026.30,178366
,INDNIPPON,EQ,       415.80,                260710890.45,631188
,INDOCO,EQ,       439.20,                 47700447.05,107452
,INDORAMA,BE,        54.20,                  5360711.00,100659
,INDOSOLAR,BZ,         2.85,                   700890.35,242103
,INDOSTAR,EQ,       348.25,                 47617251.05,136250
,INDOTECH,BE,       242.70,                  1589259.45,6463
,INDOTHAI,EQ,        68.50,                   898222.35,13170
,INDOWIND,BE,         7.15,                   819344.20,112962
,INDRAMEDCO,EQ,        83.30,                 77671533.80,922193
,INDSWFTLAB,EQ,       103.90,                 96203542.95,912338
,INDSWFTLTD,BE,         5.30,                    55188.90,10413
,INDTERRAIN,EQ,        44.30,                  7084155.65,160969
,INDUSTOWER,EQ,       224.20,                877649809.90,3925534
,INEOSSTYRO,EQ,      1425.60,                 55186998.75,38664
,INFIBEAM,EQ,        45.55,                311883235.40,6806836
,INFOBEAN,BE,       480.95,                  6033963.55,12508
,INFOMEDIA,BE,         5.75,                   474492.25,83065
,INFRABEES,EQ,       461.11,                   545397.28,1184
,INGERRAND,EQ,      1005.65,                 13902563.65,13798
,INNOVANA,SM,       189.90,                   754900.00,4000
,INNOVATIVE,SM,        17.60,                   422400.00,24000
,INOXLEISUR,EQ,       302.95,                232722641.65,758198
,INOXWIND,EQ,       110.85,                133728528.90,1177772
,INSECTICID,EQ,       755.65,                 26804646.00,35378
,INSPIRISYS,BE,        63.75,                  1435431.55,22746
,INTEGRA,BE,         4.65,                   240848.05,51797
,INTELLECT,EQ,       843.45,               1014074629.30,1174196
,INTENTECH,EQ,        99.00,                 40177416.15,402448
,INVENTURE,EQ,         3.60,                 86760651.35,23715818
,IOB,EQ,        24.90,                197946953.15,7855559
,IOLCP,EQ,       691.15,               1766042314.40,2534030
,IPCALAB,EQ,      2225.90,                360587141.75,162631
,IPL,EQ,       341.45,                307653260.50,896628
,IRB,EQ,       163.15,                323707648.00,1935916
,IRBINVIT,IV,        59.07,                 19575900.00,330000
,IRCON,EQ,        44.80,                 94297804.50,2094844
,IRCTC,EQ,      2313.30,               3049060474.45,1306299
,IREDA,N7,      1271.90,                    25438.00,20
,IREDA,N6,      1305.00,                    32625.00,25
,IREDA,N5,      1270.00,                  1270046.50,1000
,IRFC,EQ,        23.25,                176103756.00,7567068
,IRFC,N4,      1210.00,                   605000.00,500
,IRFC,N2,      1246.99,                   124099.50,100
,IRFC,NE,      1347.90,                    74682.70,57
,IRFC,N6,      1103.10,                    55155.00,50
,IRFC,N8,      1677.99,                    58729.65,35
,IRFC,NO,      1270.00,                    95250.00,75
,IRFC,N1,      1083.61,                   487610.00,450
,IRFC,NM,      1257.50,                   125750.00,100
,IRFC,N9,      1201.00,                    24020.00,20
,IRFC,NN,      1161.99,                    11619.90,10
,IRFC,NA,      1269.00,                   509798.89,404
,IRISDOREME,BE,       162.75,                 13467132.60,84114
,ISEC,EQ,       713.05,                374801072.95,518848
,ISFT,EQ,       110.00,                  4601876.75,41645
,ISGEC,EQ,       780.45,                 61117528.90,77961
,ISMTLTD,BE,        27.15,                  4466796.30,161922
,ITDC,EQ,       395.20,                 12114503.90,30568
,ITDCEM,EQ,        86.50,                 64085575.65,723948
,ITI,EQ,       126.80,                 47361366.65,371521
,IVC,EQ,         7.55,                  5305410.05,714693
,IVP,EQ,       134.65,                  1124553.95,8236
,IVZINGOLD,EQ,      4310.00,                   387059.20,90
,IWEL,BE,       705.75,                  4925944.10,6983
,IZMO,EQ,       117.05,                 21091171.85,181739
,J&KBANK,EQ,        39.80,                517457575.15,13003564
,JAGRAN,EQ,        67.45,                 73006078.70,1099165
,JAGSNPHARM,EQ,       171.55,                 21478344.75,125114
,JAIBALAJI,EQ,        61.65,                  5455639.75,87073
,JAICORPLTD,EQ,       157.75,                160531624.95,1014212
,JAINSTUDIO,BZ,         2.80,                      484.40,173
,JALAN,SM,         5.65,                    16950.00,3000
,JAMNAAUTO,EQ,        85.15,                 37753272.80,437736
,JASH,EQ,       571.65,                 15895095.20,28042
,JAYAGROGN,EQ,       293.60,                422355010.95,1421515
,JAYBARMARU,EQ,       221.60,                 31661976.00,145131
,JAYNECOIND,BE,        25.60,                 17805963.80,689875
,JAYSREETEA,EQ,       122.00,                 88336720.25,707113
,JBCHEPHARM,EQ,      1794.10,                116955141.65,64661
,JBFIND,BE,        36.55,                 23051927.80,642766
,JBMA,EQ,       476.75,                 79100516.05,161746
,JCHAC,EQ,      2275.25,                 19843289.35,8716
,JETAIRWAYS,BZ,        83.15,                 13117078.80,157752
,JETFREIGHT,SM,        28.50,                   114000.00,4000
,JETKNIT,SM,        38.10,                   234300.00,6000
,JHS,EQ,        25.15,                  3507168.75,137619
,JIKIND,BE,          .60,                    26506.80,44173
,JINDALPHOT,EQ,        73.15,                   242851.20,3319
,JINDALPOLY,EQ,      1025.65,                149522265.25,143798
,JINDALSAW,EQ,       131.85,                435995644.25,3291939
,JINDALSTEL,EQ,       403.80,              10115624463.35,24514886
,JINDCOT,BE,         2.90,                    17962.60,6194
,JINDRILL,EQ,       136.80,                 21376755.65,153673
,JINDWORLD,EQ,        77.20,                 30844696.35,394002
,JISLDVREQS,EQ,        21.05,                  1097835.65,52418
,JISLJALEQS,EQ,        32.45,                 83710279.95,2553216
,JITFINFRA,BE,        23.75,                   586268.75,24685
,JIYAECO,BE,         5.80,                   151952.95,26088
,JKCEMENT,EQ,      3113.80,                 80061797.80,25678
,JKIL,EQ,       223.15,                269204748.25,1195869
,JKLAKSHMI,EQ,       711.00,                404939757.60,570334
,JKPAPER,EQ,       221.85,                255815212.95,1163005
,JKTYRE,EQ,       141.50,                 69795118.50,491821
,JMA,EQ,        65.25,                  2386308.85,36256
,JMCPROJECT,EQ,       121.05,                 13986972.45,115694
,JMFINANCIL,EQ,       106.45,                877963185.70,8255469
,JMTAUTOLTD,EQ,         3.05,                  3220700.90,1044090
,JNPT,N1,      1050.00,                   102718.99,100
,JOCIL,EQ,       279.95,                355898022.05,1312658
,JPASSOCIAT,BE,        11.55,                 23587059.80,2068921
,JPINFRATEC,EQ,         2.20,                 70818862.45,34067646
,JPOLYINVST,BE,        39.05,                   111565.85,2857
,JPPOWER,EQ,         5.40,                360712216.80,67332142
,JSL,EQ,       152.45,               3191287277.30,19964587
,JSLHISAR,EQ,       271.40,               1402980534.00,4951867
,JSWENERGY,EQ,       241.05,               2214389961.35,9028915
,JSWHL,EQ,      4818.80,                  3743440.65,774
,JSWISPL,BE,        39.35,                 74331205.10,1871234
,JTEKTINDIA,EQ,       109.00,                 20324608.00,184355
,JUBLFOOD,EQ,      3559.50,               3092469765.45,870977
,JUBLINDS,EQ,       383.20,                 50255749.55,129981
,JUBLINGREA,EQ,       628.65,               1503894120.35,2362885
,JUBLPHARMA,EQ,       694.35,                518606159.75,742673
,JUMPNET,EQ,         9.90,                 14848214.60,1481273
,JUNIORBEES,EQ,       412.14,                 28688653.76,69573
,JUSTDIAL,EQ,       964.70,               2372493179.40,2455910
,JYOTHYLAB,EQ,       173.35,                 56444534.30,326225
,JYOTISTRUC,BZ,        10.60,                  7155816.10,675094
,KABRAEXTRU,EQ,       226.90,                 46165586.20,201724
,KAJARIACER,EQ,      1004.65,                172224752.10,171784
,KAKATCEM,EQ,       259.75,                 10397597.40,39830
,KALPATPOWR,EQ,       474.75,                 78103783.40,164284
,KALYANIFRG,BE,       216.55,                   336393.40,1529
,KALYANKJIL,EQ,        72.10,                 91137433.60,1255438
,KAMATHOTEL,EQ,        48.20,                  1392789.60,28503
,KAMDHENU,EQ,       175.20,                 11775928.05,66892
,KANANIIND,BE,        12.90,                   783925.55,62419
,KANORICHEM,EQ,       180.50,                 10911491.70,60820
,KANPRPLA,EQ,       288.90,                 30649908.90,107707
,KANSAINER,EQ,       617.95,                115764798.95,186318
,KAPSTON,BE,        89.00,                   125699.20,1396
,KARDA,BE,       184.85,                 23835156.65,128855
,KARMAENG,EQ,        24.35,                   882470.40,36425
,KARURVYSYA,EQ,        49.55,                 37733931.40,758341
,KAUSHALYA,EQ,         2.85,                    65464.50,22970
,KAVVERITEL,EQ,         2.10,                       16.80,8
,KAYA,EQ,       503.95,                 20617875.20,40403
,KCP,EQ,       158.95,                 54123501.25,337407
,KCPSUGIND,EQ,        26.15,                 12534313.25,475780
,KDDL,EQ,       362.00,                  2417016.45,6767
,KEC,EQ,       426.75,                 81336551.05,189369
,KECL,EQ,        19.05,                  2975926.70,153957
,KEERTI,EQ,        19.60,                   459161.85,23251
,KEI,EQ,       715.90,                168100556.05,232509
,KELLTONTEC,EQ,        57.80,                141598047.10,2454378
,KENNAMET,EQ,      1257.60,                 10010623.00,7876
,KERNEX,BE,        70.30,                   288205.10,4047
,KESORAMIND,EQ,        94.10,                291289538.80,3048355
,KEYFINSERV,EQ,        76.95,                   475893.75,6227
,KHADIM,EQ,       291.70,                 16903864.25,57865
,KHAICHEM,EQ,        68.65,                 14856218.95,219224
,KHAITANLTD,BE,        20.90,                    60551.75,2760
,KHANDSE,EQ,        18.20,                   133934.70,7353
,KHFM,SM,        30.95,                   464250.00,15000
,KICL,EQ,      2030.25,                  3241333.25,1587
,KILITCH,EQ,       199.05,                 13919508.65,71840
,KIMS,EQ,      1196.25,               1980385278.65,1673782
,KINGFA,EQ,      1149.70,                  6215858.90,5339
,KIOCL,EQ,       274.30,                 23377070.75,85904
,KIRIINDUS,EQ,       583.40,                207646633.15,355075
,KIRLFER,EQ,       293.60,                507772649.05,1726483
,KIRLOSBROS,BE,       445.10,                  6432495.40,14419
,KIRLOSENG,EQ,       263.70,                 62856467.90,233257
,KIRLOSIND,EQ,      1688.95,                 12108269.60,7159
,KITEX,EQ,       175.75,                 85938098.35,485382
,KKCL,EQ,       907.20,                  2983027.35,3259
,KMSUGAR,EQ,        30.55,                 15151304.70,488700
,KNRCON,EQ,       270.80,                177218285.80,657289
,KOKUYOCMLN,EQ,        72.80,                 34957644.20,475130
,KOLTEPATIL,EQ,       241.00,                291165601.85,1217876
,KOPRAN,BE,       243.65,                 50124617.20,207482
,KOTAKBKETF,EQ,       352.36,                 42441523.18,120531
,KOTAKGOLD,EQ,        41.80,                 11204540.05,268221
,KOTAKIT,EQ,        30.02,                   911551.81,30645
,KOTAKNIFTY,EQ,       166.22,                 19055936.90,114267
,KOTAKNV20,EQ,        88.16,                   967388.29,10968
,KOTAKPSUBK,EQ,       236.48,                  1000906.00,4220
,KOTARISUG,EQ,        38.30,                  9124731.95,237886
,KOTHARIPET,EQ,        44.30,                 24963685.35,555733
,KOTHARIPRO,BE,       110.80,                   901319.45,8044
,KPITTECH,EQ,       294.75,                741979254.55,2481569
,KPRMILL,EQ,      1868.45,                142336355.55,76565
,KRBL,EQ,       276.70,                193372563.50,692244
,KREBSBIO,EQ,       123.35,                 22685185.45,185301
,KRIDHANINF,EQ,         5.85,                   806923.00,138152
,KRISHANA,EQ,       139.60,                 20473559.40,148659
,KSB,EQ,      1070.15,                106636184.80,101211
,KSCL,EQ,       700.75,                147307699.95,212487
,KSL,EQ,       439.00,                180345989.65,405694
,KSOLVES,SM,       562.60,                 11436640.00,20400
,KTKBANK,EQ,        59.80,                 62883211.65,1042938
,KUANTUM,EQ,        83.55,                  9394594.60,111128
,L&TFH,EQ,        87.70,                704091168.40,7964969
,L&TFINANCE,Y1,      1150.00,                  1299500.00,1130
,L&TFINANCE,NE,      1082.99,                    21659.80,20
,L&TFINANCE,Y5,      1090.00,                   109000.00,100
,L&TFINANCE,Y9,      1113.30,                    27832.50,25
,L&TFINANCE,NO,      1071.06,                   516923.10,492
,L&TFINANCE,NC,      1100.04,                   375602.50,341
,L&TFINANCE,NG,      1224.90,                     1224.90,1
,LAGNAM,SM,        40.80,                  1713600.00,42000
,LAKPRE,BZ,         5.00,                     8329.85,1666
,LALPATHLAB,EQ,      3534.55,               2134863329.10,603452
,LAMBODHARA,BE,        91.55,                  2536871.70,27491
,LAOPALA,EQ,       275.15,                 50078591.85,181200
,LASA,EQ,        71.30,                157961362.55,2115206
,LAURUSLABS,EQ,       651.15,               1905029934.90,2903889
,LAXMICOT,SM,        30.90,                   927000.00,30000
,LAXMIMACH,EQ,      7636.60,                 82940036.45,10798
,LCCINFOTEC,EQ,         1.80,                   490801.75,270713
,LEMONTREE,EQ,        40.25,                 67002479.30,1656904
,LEXUS,SM,        11.20,                    11200.00,1000
,LFIC,EQ,        82.10,                   137212.80,1666
,LGBBROSLTD,EQ,       485.30,                148951357.65,301490
,LGBFORGE,BE,         7.50,                  1411185.75,195998
,LIBAS,EQ,        69.35,                 24363941.95,346032
,LIBERTSHOE,EQ,       184.65,                133786944.10,719994
,LICHSGFIN,EQ,       442.65,               1324966433.15,2959560
,LICNETFGSC,EQ,        21.95,                    37961.16,1727
,LICNETFN50,EQ,       201.75,                    26227.50,130
,LICNETFSEN,EQ,       559.80,                    47759.40,85
,LICNFNHGP,EQ,       162.96,                    49412.46,302
,LIKHITHA,EQ,       403.85,                 32972105.65,81157
