,15-Jun-2021
The Nifty witnessed an intraday movement of about 59.2 points.The closing index was 0.36 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 67123.48
, Traded Quantity (in Lakhs), 34416.34
, Number of Trades, 22698476
, Total Market Capitalisation (Rs. Crores), 22997088.23

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,     15811.85,     15866.95,     15901.60,     15842.40,     15869.25,57.4
,NIFTY50 EQL Wgt,     17908.15,     17957.65,     17994.00,     17914.10,     17929.85,21.7
,NIFTY100 EQL Wgt,     19109.00,     19159.55,     19189.60,     19118.80,     19134.30,25.3
,NIFTY100 LowVol30,     12372.85,     12401.05,     12447.40,     12394.45,     12407.55,34.7
,NIFTY Alpha 50,     27557.30,     27608.55,     27669.65,     27480.15,     27537.15,-20.15
,NIFTY MIDCAP 150,     10233.45,     10264.80,     10316.30,     10253.95,     10292.10,58.65
,NIFTY SMLCAP 50,      4903.25,      4931.90,      4949.60,      4905.85,      4911.00,7.75
,NIFTY SMLCAP 250,      8362.80,      8408.75,      8443.80,      8393.95,      8404.45,41.65
,NIFTY MIDSML 400,      9561.30,      9597.70,      9639.30,      9593.65,      9613.90,52.6
,NIFTY200 QUALTY30,     13365.90,     13409.30,     13453.80,     13400.15,     13432.60,66.7
,Nifty FinSrv25 50,     16642.75,     16703.00,     16740.90,     16656.30,     16705.45,62.7
,NIFTY AlphaLowVol,     15657.85,     15686.65,     15771.55,     15680.90,     15724.90,67.05
,Nifty200Momentm30,     17930.60,     18020.35,     18057.70,     17958.55,     17998.60,68
,Nifty100ESGSecLdr,      2703.20,      2712.05,      2715.55,      2706.75,      2709.00,5.8
,Nifty IT,     28314.10,     28384.70,     28544.60,     28325.90,     28377.85,63.75
,Nifty Next 50,     39121.95,     39246.90,     39351.60,     39172.35,     39248.75,126.8
,Nifty Bank,     34950.60,     35038.05,     35317.40,     34917.90,     35247.75,297.15
,NIFTY MIDCAP 100,     27198.50,     27260.95,     27432.05,     27236.65,     27364.35,165.85
,Nifty 500,     13554.15,     13601.35,     13634.35,     13587.75,     13607.80,53.65
,Nifty 100,     16079.70,     16134.30,     16167.60,     16113.60,     16136.65,56.95
,Nifty Midcap 50,      7572.00,      7603.65,      7656.15,      7593.00,      7623.80,51.8
,Nifty Realty,       352.40,       355.00,       358.60,       354.05,       357.05,4.65
,Nifty Infra,      4472.35,      4496.90,      4499.10,      4469.35,      4475.90,3.55
,Nifty Energy,     20902.70,     21022.95,     21066.10,     20851.75,     20900.10,-2.6
,Nifty FMCG,     35659.95,     35691.40,     35953.65,     35673.90,     35921.50,261.55
,Nifty MNC,     17309.85,     17345.35,     17426.90,     17321.05,     17412.85,103
,Nifty Pharma,     14449.60,     14464.50,     14505.00,     14309.55,     14322.65,-126.95
,Nifty PSE,      3723.45,      3739.10,      3755.35,      3712.60,      3716.45,-7
,Nifty PSU Bank,      2488.75,      2489.70,      2514.20,      2478.70,      2482.40,-6.35
,Nifty Serv Sector,     21815.25,     21904.90,     21965.40,     21858.80,     21931.85,116.6
,India VIX,14.7150,14.7150,15.1625,13.2775,14.6050,-0.1100
,Nifty Auto,     10753.10,     10768.20,     10803.25,     10739.40,     10754.40,1.3
,Nifty Metal,      5371.60,      5397.55,      5412.75,      5356.15,      5368.95,-2.65
,Nifty Media,      1869.85,      1878.70,      1923.05,      1875.70,      1907.30,37.45
,NIFTY SMLCAP 100,      9717.05,      9766.35,      9811.70,      9749.15,      9760.45,43.4
,Nifty 200,      8389.25,      8416.55,      8437.30,      8406.90,      8421.75,32.5
,Nifty Div Opps 50,      3329.65,      3339.65,      3348.50,      3334.55,      3336.25,6.6
,Nifty Commodities,      5283.15,      5295.85,      5323.50,      5276.40,      5288.85,5.7
,Nifty Consumption,      6300.25,      6316.45,      6361.10,      6313.20,      6357.40,57.15
,Nifty Fin Service,     16581.70,     16642.35,     16700.50,     16587.30,     16676.80,95.1
,Nifty50 Div Point,        59.80,        59.80,        59.80,        59.80,        59.80,0
,Nifty100 Liq 15,      4039.15,      4054.55,      4068.60,      4048.30,      4055.60,16.45
,Nifty CPSE,      2109.05,      2120.55,      2125.45,      2097.90,      2100.20,-8.85
,Nifty GrowSect 15,      7601.20,      7606.75,      7627.30,      7593.95,      7602.35,1.15
,Nifty50 PR 2x Lev,      7527.45,      7579.25,      7611.85,      7560.10,      7581.45,54
,Nifty50 PR 1x Inv,       277.75,       276.85,       277.20,       276.25,       276.80,-.95
,Nifty50 TR 2x Lev,     10123.80,     10193.45,     10237.35,     10167.75,     10196.40,72.6
,Nifty50 TR 1x Inv,       239.60,       238.80,       239.10,       238.30,       238.75,-.85
,Nifty50 Value 20,      8017.60,      8031.05,      8055.40,      8017.95,      8023.20,5.6
,Nifty Mid Liq 15,      6403.15,      6425.10,      6446.15,      6412.15,      6431.60,28.45
,Nifty Pvt Bank,     18352.70,     18412.35,     18577.20,     18352.55,     18549.95,197.25
,NIFTY100 Qualty30,      3606.10,      3616.90,      3633.15,      3614.70,      3626.05,19.95
,Nifty GS 8 13Yr,      2277.09,      2277.47,      2277.47,      2271.08,      2271.63,-5.46
,Nifty GS 10Yr,      2064.80,      2065.14,      2065.14,      2058.83,      2060.08,-4.72
,Nifty GS 10Yr Cln,       957.31,       957.31,       957.31,       954.38,       954.96,-2.35
,Nifty GS 4 8Yr,      2435.97,      2436.35,      2436.35,      2426.03,      2426.50,-9.47
,Nifty GS 11 15Yr,      2440.46,      2440.91,      2440.91,      2430.37,      2430.65,-9.81
,Nifty GS 15YrPlus,      2635.40,      2635.90,      2636.06,      2630.34,      2630.47,-4.93
,Nifty GS Compsite,      2323.22,      2323.61,      2323.61,      2314.91,      2315.46,-7.76

,ADVANCES,1188
,DECLINES,810
,UNCHANGED,67

,Total securities that have hit their price bands today,357

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,ADANIPORTS,EQ,       768.45,       761.85,-0.86,3488.7
,HBLPOWER,EQ,        48.70,                223073859.40,4603796
,HBSL,EQ,        19.15,                   625120.20,34080
,HCC,EQ,        11.35,                123871492.45,10998865
,HCG,EQ,       215.80,                 89846342.50,416152
,HCL-INSYS,EQ,        16.50,                 12356880.20,753077
,HDFC,W3,       765.00,                  5513910.00,7200
,HDFCMFGETF,EQ,        43.11,                 23500056.57,545021
,HDFCNIFETF,EQ,       169.03,                  2402661.95,14224
,HDFCSENETF,EQ,       560.06,                  4686043.16,8360
,HDIL,BZ,         6.70,                  8704998.65,1348656
,HEG,EQ,      2264.75,                876617207.20,382150
,HEIDELBERG,EQ,       248.65,                138158492.55,555332
,HEMIPROP,EQ,       150.25,                167301906.50,1104851
,HEOFRG1126,MF,        11.35,                     5675.00,500
,HERANBA,EQ,       769.85,                291089982.30,374714
,HERCULES,EQ,       147.95,                283150724.10,1883304
,HERITGFOOD,EQ,       431.45,                175048375.10,407146
,HESTERBIO,EQ,      2632.80,                 23015295.10,8685
,HEXATRADEX,EQ,       116.15,                  2680220.25,23009
,HFCL,EQ,        50.20,                840944235.90,16674609
,HGINFRA,EQ,       394.70,                 54278302.75,137180
,HGS,EQ,      2591.25,                232339237.80,89364
,HIKAL,EQ,       478.20,                708350751.15,1455961
,HIL,EQ,      4654.80,                 43821817.50,9481
,HILTON,BE,        12.85,                   313533.25,23939
,HIMATSEIDE,EQ,       174.80,                 52058329.00,296081
,HINDCOMPOS,EQ,       342.05,                  4470427.95,12953
,HINDCON,SM,        33.05,                   396800.00,12000
,HINDCOPPER,EQ,       162.55,                841149655.90,5117904
,HINDMOTORS,EQ,         8.75,                  2517435.70,287419
,HINDNATGLS,EQ,        45.00,                 10340270.35,230222
,HINDOILEXP,EQ,       112.40,                273604855.45,2385027
,HIRECT,EQ,       167.55,                  5695414.50,33600
,HISARMETAL,EQ,       127.55,                 17263108.75,138528
,HITECH,EQ,       411.50,                 22431464.05,54285
,HITECHCORP,EQ,       229.50,                125590759.00,572028
,HITECHGEAR,EQ,       250.45,                 66717653.60,260378
,HLEGLAS,EQ,      3665.65,                 24427964.20,6618
,HLVLTD,EQ,        10.05,                  4964026.55,490500
,HMT,BZ,        31.90,                   403845.45,12797
,HMVL,EQ,       103.90,                 92479690.15,885268
,HNDFDS,BE,      2003.75,                 16617250.60,8265
,HNGSNGBEES,EQ,       357.28,                   423790.33,1187
,HOMEFIRST,EQ,       548.50,                 60297461.30,108207
,HONAUT,EQ,     40695.40,                182405221.90,4477
,HONDAPOWER,EQ,      1077.55,                  7092485.25,6578
,HOTELRUGBY,EQ,         1.80,                    24002.85,13477
,HOVS,EQ,        55.65,                   731453.20,12916
,HPL,EQ,        59.20,                 10528423.05,178301
,HSCL,EQ,        54.60,                446536135.75,8138659
,HSIL,EQ,       228.65,                 35899900.25,154706
,HTMEDIA,EQ,        27.90,                 29288833.20,1052585
,HUBTOWN,EQ,        31.05,                  5549732.70,178905
,HUDCO,EQ,        52.90,                192654116.50,3607837
,HUDCO,ND,      1318.00,                   312486.00,237
,HUDCO,N2,      1250.00,                  2574995.00,2060
,HUDCO,NE,      1460.00,                   395453.65,271
,HUDCO,N3,      1049.02,                  1587187.78,1513
,HUDCO,N5,      1194.60,                   262868.00,220
,HUDCO,NA,      1335.97,                   156313.13,117
,HUHTAMAKI,EQ,       298.40,                391926563.20,1311104
,IBMFNIFTY,EQ,       161.96,                   115632.71,719
,IBREALEST,EQ,       110.65,                882524176.30,7943422
,IBUCCREDIT,ND,       960.00,                   110400.00,115
,IBUCCREDIT,N7,       990.00,                    24750.00,25
,IBUCCREDIT,N6,      1042.80,                     5214.00,5
,IBUCCREDIT,NB,       901.50,                   144240.00,160
,IBULHSGFIN,EQ,       308.50,              10814852362.90,35149128
,IBULHSGFIN,N6,      1055.00,                   200200.00,190
,ICEMAKE,EQ,        82.10,                  2020030.60,24197
,ICICI500,EQ,       223.40,                   274477.10,1226
,ICICIALPLV,EQ,       159.04,                   344081.60,2168
,ICICIB22,EQ,        40.20,                 15986169.50,396292
,ICICIBANKN,EQ,       349.76,                  1350923.03,3866
,ICICIBANKP,EQ,       182.08,                   649284.02,3563
,ICICIGOLD,EQ,        43.14,                 11001148.73,255344
,ICICILIQ,EQ,       999.99,                122105219.14,122105
,ICICILOVOL,EQ,       130.70,                  9851727.51,75338
,ICICIM150,EQ,       104.19,                   704610.45,6779
,ICICIMCAP,EQ,        93.46,                   863786.29,9222
,ICICINF100,EQ,       174.52,                   743182.31,4263
,ICICINIFTY,EQ,       169.13,                 20562215.18,121458
,ICICINV20,EQ,        84.96,                  1389315.55,16364
,ICICINXT50,EQ,        39.88,                  1282916.94,32149
,ICICIPHARM,EQ,        86.84,                 10639310.20,122481
,ICICISENSX,EQ,       572.53,                   399889.73,700
,ICICITECH,EQ,       286.70,                  2252869.10,7839
,ICIL,EQ,       169.90,                 49901393.05,290570
,ICRA,EQ,      3460.25,                 61534599.75,17929
,IDBI,EQ,        38.85,                493504879.20,12594841
,IDBIGOLD,EQ,      4446.40,                   258243.80,58
,IDEA,EQ,         9.70,                853519087.80,87659985
,IDFC,EQ,        56.45,                350787648.30,6178131
,IDFCFIRSTB,EQ,        59.60,                978872283.20,16344664
,IDFCFIRSTB,NC,     10891.43,                   250524.14,23
,IDFCFIRSTB,ND,      5140.00,                    20560.00,4
,IDFCFIRSTB,N9,      5235.00,                    62800.00,12
,IDFCFIRSTB,NB,      5140.00,                    76890.02,15
,IDFCFIRSTB,NA,     11341.55,                    22683.10,2
,IDFNIFTYET,EQ,       166.12,                    26068.79,157
,IEX,EQ,       375.35,               1787758051.45,4784008
,IFBAGRO,EQ,       536.90,                 22778735.10,42372
,IFBIND,EQ,      1122.90,                156468765.85,138767
,IFCI,EQ,        13.45,                 80946664.70,5932225
,IFGLEXPOR,EQ,       374.95,                 50474676.20,132260
,IGARASHI,EQ,       482.05,                206935654.05,418601
,IGPL,EQ,       612.55,                 72396284.85,117524
,IIFCL,N4,      1428.00,                   300795.50,211
,IIFCL,N2,      1236.00,                  1239472.00,1002
,IIFL,BE,       258.35,                 21371835.20,82293
,IIFL,N4,      1027.90,                  1245196.76,1218
,IIFL,NE,      1005.00,                    50250.00,50
,IIFL,N6,      1030.00,                    46349.78,45
,IIFL,NF,      1005.31,                  1392714.07,1385
,IIFL,N9,      1024.00,                    51200.00,50
,IIFL,N3,      1241.75,                   620875.00,500
,IIFL,NG,      1000.55,                    35047.75,35
,IIFL,N5,      1050.50,                   105052.55,100
,IIFLSEC,EQ,        74.00,                 71916301.00,963188
,IIFLWAM,EQ,      1158.00,                 43540781.30,37409
,IITL,EQ,        71.45,                   138142.90,1929
,IL&FSENGG,BZ,         4.35,                   548121.90,130117
,IL&FSTRANS,BZ,         2.95,                   375615.65,125662
,IMAGICAA,BE,         8.90,                  2046000.95,226816
,IMFA,EQ,       531.25,                151844122.60,279597
,IMPAL,EQ,       713.35,                  5141861.75,7213
,IMPEXFERRO,BE,         1.20,                    54225.25,45435
,INCREDIBLE,EQ,        27.40,                   939168.50,34147
,INDBANK,EQ,        20.90,                 18682256.90,862248
,INDHOTEL,EQ,       136.45,                410863421.50,3017530
,INDIACEM,EQ,       188.40,                850003341.30,4540036
,INDIAGLYCO,EQ,       545.75,                 49198704.90,89388
,INDIAMART,EQ,      7389.10,               1093437456.00,148918
,INDIANB,EQ,       143.90,                438071914.70,3009904
,INDIANCARD,EQ,       166.65,                   685382.85,4136
,INDIANHUME,EQ,       227.35,                 45817233.65,197288
,INDIGOPNTS,EQ,      2677.55,                323922388.75,121748
,INDIGRID,IV,       131.98,                 10095094.80,76545
,INDIGRID,ND,      1020.00,                   102000.00,100
,INDIGRID,NB,      1000.00,                    50000.00,50
,INDIGRID,NJ,      1046.36,                  2876498.45,2748
,INDLMETER,EQ,        14.05,                  1372076.90,96659
,INDNIPPON,EQ,       363.15,                 18915438.15,51857
,INDOCO,EQ,       409.60,                 75067905.45,182649
,INDORAMA,BE,        51.75,                  2103814.55,40358
,INDOSOLAR,BZ,         2.60,                  1750969.00,682389
,INDOSTAR,EQ,       399.60,                 30592872.25,76045
,INDOTECH,EQ,       152.60,                  4197246.55,27210
,INDOTHAI,BE,        52.00,                   156944.50,2971
,INDOWIND,EQ,         6.60,                   691388.15,104816
,INDRAMEDCO,EQ,        90.75,                 52676063.50,575062
,INDSWFTLAB,EQ,       116.40,                121235626.30,1006599
,INDTERRAIN,EQ,        35.45,                  5033588.80,140849
,INDUSTOWER,EQ,       254.00,                296004997.90,1165153
,INEOSSTYRO,EQ,      1482.85,                 80269293.35,53972
,INFIBEAM,EQ,        49.90,                312009198.80,6172728
,INFOBEAN,EQ,       314.10,                 12853951.40,40985
,INFOMEDIA,BE,         4.40,                    76212.80,17450
,INFRABEES,EQ,       464.65,                  1067749.80,2293
,INGERRAND,EQ,       972.50,                 41542067.75,42776
,INNOVANA,SM,       195.30,                   390300.00,2000
,INNOVATIVE,SM,         8.40,                   151200.00,18000
,INOXLEISUR,EQ,       315.30,                157144072.20,493499
,INOXWIND,EQ,        86.95,                 41267929.75,470319
,INSECTICID,EQ,       714.05,                813298355.45,1145724
,INSPIRISYS,EQ,        50.60,                  5064179.75,101085
,INTELLECT,EQ,       769.55,                177829846.85,232243
,INTENTECH,EQ,        76.85,                  7160100.45,91316
,INVENTURE,EQ,        35.50,                 14459389.35,400557
,IOB,EQ,        21.10,                326110377.25,15319292
,IOLCP,EQ,       653.35,                184004506.65,280108
,IPCALAB,EQ,      2065.00,                393996293.25,189226
,IRB,EQ,       153.60,               2865526578.00,19063157
,IRBINVIT,IV,        55.99,                 10780025.00,192500
,IRCON,EQ,        48.10,                121206219.45,2506732
,IRCTC,EQ,      2097.95,               4043645748.45,1912498
,IREDA,N5,      1309.00,                   132768.00,101
,IRFC,EQ,        25.20,               1365237110.05,54064001
,IRFC,NK,      1376.97,                     5507.88,4
,IRFC,NE,      1310.00,                    59025.00,45
,IRFC,N2,      1250.02,                115030824.70,91453
,IRFC,NN,      1189.99,                    17849.85,15
,IRFC,NB,      1250.00,                    12500.00,10
,IRFC,NA,      1281.10,                   848120.70,660
,IRFC,N9,      1150.50,                    33282.91,29
,IRFC,NJ,      1264.99,                  2102785.75,1667
,IRFC,NO,      1274.50,                   509913.05,400
,IRFC,ND,      1111.00,                    43329.00,39
,IRFC,N1,      1078.32,                  5338996.57,4950
,IRFC,N4,      1224.98,                     1224.98,1
,IRISDOREME,EQ,       116.20,                  1876225.75,16411
,ISEC,EQ,       651.50,                813097388.30,1225908
,ISFT,EQ,       103.25,                  8851235.50,85016
,ISGEC,EQ,       613.45,                 40319077.65,65619
,ISMTLTD,BE,        16.80,                  4436476.45,268181
,ITDC,EQ,       388.05,                 13228833.85,34077
,ITDCEM,EQ,        87.75,                 75524278.85,855570
,ITI,EQ,       132.00,                392257349.90,3014228
,IVC,BE,         5.90,                  1947917.35,330087
,IVP,EQ,       139.50,                  1989045.20,14049
,IVZINGOLD,EQ,      4375.00,                    61213.80,14
,IVZINNIFTY,EQ,      1713.85,                    10269.92,6
,IWEL,BE,       219.45,                   113675.10,518
,IZMO,EQ,        86.10,                 62285405.75,708515
,J&KBANK,EQ,        29.35,                 96731365.35,3281813
,JAGRAN,EQ,        62.55,                211402291.65,3387835
,JAGSNPHARM,EQ,       155.60,                 50306852.95,321689
,JAIBALAJI,EQ,        49.95,                  7706484.00,151540
,JAICORPLTD,EQ,       142.15,               3471342526.85,24839541
,JAINSTUDIO,BZ,         2.65,                    16578.40,6256
,JAKHARIA,SM,       169.00,                   398400.00,2400
,JAMNAAUTO,EQ,        86.05,                 76539344.60,888834
,JASH,EQ,       390.70,                  3992271.35,10147
,JAYAGROGN,EQ,       215.00,                 22088240.85,102409
,JAYBARMARU,EQ,       230.80,                 22977273.20,98496
,JAYNECOIND,BE,        22.40,                  6474424.25,283544
,JAYSREETEA,EQ,       104.05,                 56795246.90,540147
,JBCHEPHARM,EQ,      1507.00,                692340612.60,451064
,JBFIND,BE,        24.55,                 13610730.00,568425
,JBMA,EQ,       441.45,                 17440346.15,39468
,JCHAC,EQ,      2319.90,                206780708.00,90335
,JETAIRWAYS,BZ,        99.55,                  6534576.20,65728
,JETFREIGHT,SM,        24.90,                  1095200.00,44000
,JETKNIT,SM,        33.50,                   100500.00,3000
,JHS,EQ,        24.55,                 12511996.10,507274
,JIKIND,BE,          .95,                   316516.20,333971
,JINDALPHOT,BE,        67.60,                   812992.05,11861
,JINDALPOLY,EQ,       868.35,                182303065.00,205957
,JINDALSAW,EQ,       112.25,                351463947.50,3106082
,JINDALSTEL,EQ,       422.50,               3561064875.95,8374127
,JINDRILL,EQ,       125.75,                  8328692.15,65423
,JINDWORLD,EQ,        62.20,                 23304977.90,365148
,JISLDVREQS,EQ,        18.25,                  2685911.65,147108
,JISLJALEQS,EQ,        26.00,                106930728.45,4030462
,JIYAECO,BE,         6.90,                   723044.30,104566
,JKCEMENT,EQ,      2789.75,                606055400.20,217222
,JKIL,EQ,       198.55,                 69164565.30,344983
,JKLAKSHMI,EQ,       568.15,                329181436.10,570545
,JKPAPER,EQ,       178.35,                552303395.15,3105095
,JKTYRE,EQ,       148.80,               2309217821.60,15767509
,JMA,EQ,        44.70,                  1154780.90,25575
,JMCPROJECT,EQ,       118.80,                 20738027.60,172631
,JMFINANCIL,EQ,        96.35,                307523198.35,3197393
,JMTAUTOLTD,EQ,         3.40,                  9060373.55,2696840
,JOCIL,EQ,       190.65,                  2795218.80,14694
,JPASSOCIAT,EQ,        14.95,               1207191790.25,82223095
,JPINFRATEC,BE,         3.60,                  3844803.60,1068001
,JPPOWER,EQ,         5.10,                127762966.20,25051562
,JSL,EQ,       104.50,                325767842.45,3057602
,JSLHISAR,EQ,       199.90,                144267835.35,720929
,JSWENERGY,EQ,       153.55,                406228976.80,2612528
,JSWHL,EQ,      5239.60,                  7068914.50,1347
,JSWISPL,BE,        54.15,                 23965003.05,442567
,JTEKTINDIA,EQ,       110.35,                 31632098.45,285809
,JUBLFOOD,EQ,      3175.95,               4236547664.25,1329465
,JUBLINDS,EQ,       323.90,                 14875796.25,45430
,JUBLINGREA,EQ,       563.70,                424777101.80,746461
,JUBLPHARMA,EQ,       755.20,                338051793.35,443416
,JUMPNET,EQ,        11.00,                  7635046.15,699024
,JUNIORBEES,EQ,       410.84,                 25677835.31,62462
,JUSTDIAL,EQ,      1009.25,               7553935339.15,7602374
,JYOTHYLAB,EQ,       158.10,                133255049.30,844355
,JYOTISTRUC,BZ,         6.05,                   808773.35,133752
,KABRAEXTRU,EQ,       184.40,                 62354113.95,332874
,KAJARIACER,EQ,       994.85,                528865550.10,526389
,KAKATCEM,EQ,       296.10,                 31474755.55,105513
,KALPATPOWR,EQ,       436.70,                135639581.05,309163
,KALYANIFRG,BE,       211.00,                   520073.40,2450
,KALYANKJIL,EQ,        83.25,                181362608.50,2155056
,KAMATHOTEL,BE,        47.75,                  4038921.75,83820
,KAMDHENU,EQ,       163.20,                  6729116.65,41107
,KANANIIND,EQ,         7.35,                    79041.80,10788
,KANORICHEM,EQ,       147.15,                 20103442.40,138889
,KANPRPLA,EQ,       225.60,                  6682018.90,29545
,KANSAINER,EQ,       582.85,                 86346130.25,148045
,KAPSTON,BE,        88.65,                    39199.25,437
,KARDA,BE,       178.45,                  1701498.30,9492
,KARMAENG,EQ,        20.20,                  1023815.40,50597
,KARURVYSYA,EQ,        52.85,                134337268.30,2519281
,KAUSHALYA,EQ,         2.00,                    58046.00,29023
,KAYA,EQ,       342.00,                  9423569.65,27243
,KCP,EQ,       118.20,                131046718.55,1117817
,KCPSUGIND,EQ,        25.50,                 20184164.25,779795
,KDDL,EQ,       356.30,                  3975386.80,10706
,KEC,EQ,       393.55,                 61468866.00,155821
,KECL,BE,        19.90,                  1410798.40,71291
,KEERTI,EQ,        21.65,                   530677.45,24418
,KEI,EQ,       717.20,               1246151479.20,1778842
,KELLTONTEC,EQ,        84.15,                217426481.25,2547112
,KENNAMET,EQ,      1212.90,                 15572087.90,12969
,KERNEX,BE,        70.15,                  5218354.75,75949
,KESORAMIND,EQ,        86.30,                834934086.65,9434109
,KEYFINSERV,EQ,        72.90,                   743967.40,10307
,KHADIM,EQ,       195.00,                 24236936.15,124972
,KHAICHEM,EQ,        50.75,                 31111267.25,606030
,KHANDSE,EQ,        17.40,                    71202.15,4081
,KICL,EQ,      2077.45,                  8011853.15,3829
,KILITCH,BE,       155.95,                   389811.45,2493
,KINGFA,EQ,      1111.50,                 40940782.00,36779
,KIOCL,EQ,       290.90,                 25061335.20,84999
,KIRIINDUS,EQ,       575.55,                201324981.55,346500
,KIRLFER,EQ,       234.90,                 32965749.70,139292
,KIRLOSBROS,BE,       476.10,                 30613139.70,64621
,KIRLOSENG,EQ,       249.25,                 33989837.75,136498
,KIRLOSIND,EQ,      1684.80,                 15067701.35,8879
,KITEX,EQ,       126.95,                 43725147.75,342538
,KKCL,EQ,       886.65,                  1558429.40,1749
,KMSUGAR,EQ,        34.60,                110957395.90,3161881
,KNRCON,EQ,       227.00,                110614767.55,489528
,KOKUYOCMLN,EQ,        67.90,                 34855619.35,511031
,KOLTEPATIL,EQ,       237.85,                 52673916.80,222024
,KOPRAN,EQ,       205.00,                150102291.60,712094
,KOTAKBKETF,EQ,       354.49,                141465845.76,399486
,KOTAKGOLD,EQ,       422.85,                  7809845.10,18480
,KOTAKIT,EQ,        28.50,                   232841.28,8107
,KOTAKNIFTY,EQ,       166.25,                  3920084.61,23586
,KOTAKNV20,EQ,        86.66,                   772535.55,8940
,KOTAKPSUBK,EQ,       245.59,                  6275558.65,25554
,KOTARISUG,EQ,        40.05,                 10750867.05,266843
,KOTHARIPET,EQ,        41.95,                  6859591.85,162922
,KOTHARIPRO,EQ,        87.70,                  2307177.80,26247
,KPITTECH,EQ,       237.60,                 77938016.40,326361
,KPRMILL,EQ,      1529.50,                101168361.65,65981
,KRBL,EQ,       235.90,                462856456.75,1965959
,KREBSBIO,EQ,       125.05,                  1187204.10,9482
,KRIDHANINF,BE,         6.75,                   330034.50,48894
,KRISHANA,EQ,       117.40,                  9529118.40,79968
,KSB,EQ,       997.00,                 64036243.95,63239
,KSCL,EQ,       709.95,                251507955.80,353906
,KSL,EQ,       388.35,                 44081704.75,112023
,KSOLVES,SM,       579.95,                  2087820.00,3600
,KTKBANK,EQ,        63.85,                 75517139.95,1175658
,KUANTUM,EQ,        74.05,                 11644152.85,160224
,L&TFH,EQ,        98.55,               1881283868.05,19000566
,L&TFINANCE,Y5,      1090.00,                   109000.00,100
,L&TFINANCE,Y7,      1070.00,                    10700.00,10
,L&TFINANCE,NY,      1059.95,                    55062.30,52
,L&TFINANCE,NU,      1130.00,                    23730.00,21
,L&TFINANCE,NK,      1023.24,                    25581.00,25
,L&TFINANCE,Y9,      1125.00,                    11250.00,10
,L&TFINANCE,NC,      1085.00,                   250679.00,231
,L&TFINANCE,Y6,       905.00,                   117650.00,130
,L&TFINANCE,N7,      1013.01,                   105648.09,100
,L&TFINANCE,NO,      1068.55,                     7479.85,7
,LAGNAM,SM,        29.20,                   174600.00,6000
,LAKPRE,BZ,         5.50,                      110.00,20
,LALPATHLAB,EQ,      3194.75,                805658598.20,250604
,LAMBODHARA,EQ,        69.10,                  1061096.25,15381
,LAOPALA,EQ,       279.50,                 23385922.75,82797
,LASA,EQ,        87.95,                147038340.65,1632286
,LAURUSLABS,EQ,       623.30,               1241820846.35,1986649
,LAXMICOT,SM,        16.00,                   192000.00,12000
,LAXMIMACH,EQ,      6526.85,                 20780463.45,3169
,LCCINFOTEC,BE,         1.80,                   393713.60,220916
,LEMONTREE,EQ,        42.00,                 88705433.65,2094969
,LEXUS,SM,        12.50,                    25000.00,2000
,LFIC,EQ,        82.10,                   503964.35,6049
,LGBBROSLTD,EQ,       418.55,                661229123.85,1593618
,LGBFORGE,EQ,         5.25,                   283762.50,54050
,LIBAS,EQ,        59.15,                 33543075.25,563685
,LIBERTSHOE,EQ,       149.20,                 20607369.10,137137
,LICHSGFIN,EQ,       521.70,               1721977244.55,3287418
,LICNETFGSC,EQ,        22.02,                   289946.79,13147
,LICNETFN50,EQ,       201.07,                    18484.76,92
,LICNETFSEN,EQ,       557.33,                    62494.79,111
,LICNFNHGP,EQ,       169.49,                    44388.70,263
,LIKHITHA,EQ,       431.05,                134321218.15,302641
,LINCOLN,EQ,       310.80,                161860194.10,527814
,LINCPEN,EQ,       203.25,                  4321450.15,20898
,LINDEINDIA,EQ,      1581.10,                 85358092.40,53939
,LIQUIDBEES,EQ,      1000.00,               1021270120.81,1021269
,LIQUIDETF,EQ,      1000.00,                  8807022.94,8807
,LODHA,EQ,       708.85,                610105738.20,872095
,LOKESHMACH,BE,        53.10,                  2810290.25,52495
,LOTUSEYE,EQ,        45.20,                   604845.90,13446
,LOVABLE,BE,       123.60,                  2971482.75,24069
,LPDC,EQ,         3.90,                    28368.60,7274
,LSIL,BE,         2.90,                  2107511.20,726728
,LTMFEOF2R,MF,        17.35,                    34700.00,2000
,LTTS,EQ,      2859.45,                443740888.60,155077
,LUMAXIND,EQ,      1602.15,                 22643375.10,14022
,LUMAXTECH,EQ,       154.20,                 33613568.40,215226
,LUXIND,EQ,      3502.05,                171492711.90,48945
,LXCHEM,EQ,       224.95,                912080951.55,4049111
,LYKALABS,BE,        60.90,                  7701219.20,131254
,LYPSAGEMS,EQ,         5.50,                   578929.05,102753
,M&MFIN,EQ,       171.55,               1526555288.50,8852779
,M&MFIN,N2,      1100.00,                    25300.00,23
,M100,EQ,        28.69,                  3923419.90,136815
,M14RG,MF,        11.90,                    35700.00,3000
,M17RD,MF,        10.55,                   400900.00,38000
,M17RG,MF,        10.50,                   105000.00,10000
